序号,登记号,试验状态,药物名称,适应症,试验题目,申办者,机构名称,所在城市,所在省份,主要研究者
17,CTR20180935,进行中,阿立哌唑片,精神分裂症,阿立哌唑片在空腹条件下的人体生物等效性试验,上海上药中西制药有限公司,湖南医药学院第一附属医院国家药物临床试验机构 | 湖南医药学院第一附属医院国家药物临床试验机构,怀化市 | 怀化市,湖南省 | 湖南省,焦志海 | 曾湘良
20,CTR20180926,进行中,头孢呋辛酯胶囊,敏感细菌造成的感染：（1）上呼吸道感染；（2）下呼吸道感染；（3）生殖泌道感染；（4）其他感染。,头孢呋辛酯胶囊人体生物等效性试验。,海南日中天制药有限公司,海南欣泰康医药科技有限公司,海口市,海南省,郭荣芳
19,CTR20180932,已完成,丙泊酚中/长链脂肪乳注射液,本品是一种短效静脉用全身麻醉剂，可用于： （1）成人和1个月以上儿童的全身麻醉诱导和维持。 （2）成人和1个月以上儿童的诊断性操作和手术过程中的镇静，可单独使用也可与局部麻醉或区域麻醉联用。 （3）16岁以上重症监护患者辅助通气治疗时的镇静。,丙泊酚中/长链脂肪乳注射液人体生物等效性研究,江苏恒瑞医药股份有限公司,郑州大学第一附属医院国家药物临床试验机构,郑州,河南,张卫、张晓坚
21,CTR20180923,进行中,索氟布韦片,成人与12至<18岁青少年的慢性丙型肝炎病毒(HCV)感染。,索磷布韦片空腹人体生物等效性试验,南京正大天晴制药有限公司,长沙市第三医院,长沙,湖南,李昕
22,CTR20180921,进行中,拉科酰胺注射液,拉考沙胺片剂适用于4岁及以上部分性发作型癫痫患者，拉考沙胺注射剂仅用于成年部分性发作型癫痫患者（17岁及以上）,拉考沙胺注射液的人体生物等效性研究,江西青峰药业有限公司,华中科技大学同济医学院附属同济医院,武汉,湖北,郑恒
23,CTR20180919,进行中,头孢丙烯干混悬剂,1、上呼吸道感染：化脓性链球菌性咽炎/扁桃体炎；肺炎链球菌、流感嗜血杆菌（包括产β-内酰胺酶菌株）和卡他莫拉菌（包括产β-内酰胺酶菌株）性中耳炎和急性鼻窦炎。2、下呼吸道感染：由肺炎链球菌、流感嗜血杆菌（包括产β-内酰胺酶菌株）和卡他莫拉菌（包括产β-内酰胺酶菌株）引起的急性支气管炎继发细菌感染和慢性支气管炎急性发作。3、皮肤和皮肤软组织：金黄色葡萄球菌（包括产青霉素酶菌株）和化脓性链球菌引起的非复杂性皮肤和皮肤软组织感染，但脓肿通常需行外科引流排脓。,头孢丙烯干混悬剂人体生物等效性试验,海南日中天制药有限公司,海南欣泰康医药科技有限公司,海口市,海南省,郭荣芳
24,CTR20180916,进行中,富马酸喹硫平片,健康受试者试验，富马酸喹硫平片用于治疗精神分裂症和治疗双相情感障碍的躁狂发作。,富马酸喹硫平片的健康人体生物等效性试验,广东东阳光药业有限公司,山西省人民医院,太原市,山西省,杨五小，医学博士
25,CTR20180915,进行中,非那雄胺片,良性前列腺增生,非那雄胺片人体生物等效性试验,南京圣和药业股份有限公司,江苏省中西医结合医院,南京市,江苏省,王大为/沈建平
26,CTR20180910,进行中,阿莫西林胶囊,阿莫西林用以治疗伤寒、其他沙门菌感染和伤寒带菌者可获得满意疗效。治疗敏感细菌不产β内酰胺酶的菌株所致的尿路感染也获得良好疗效，对下尿路感染的患者和不产酶淋病奈瑟菌尿道炎、宫颈炎，口服单次剂量3g即可获得满意疗效。肺炎链球菌、不产青霉素酶金葡菌、溶血性链球菌和不产β内酰胺酶的流感嗜血杆菌所致的耳、鼻、喉感染、呼吸道感染和皮肤软组织感染等皆为适应症。钩端螺旋体病也可用阿莫西林。本品亦可用于敏感大肠埃希菌、奇异变形杆菌和粪肠球菌所致泌尿生殖系统感染。本品与克拉霉素和兰索拉唑联合治疗幽门螺杆菌感染有良好疗效。,阿莫西林胶囊0.25g人体生物等效性研究,四川依科制药有限公司,长沙市第三医院,长沙,湖南,李昕
28,CTR20180901,进行中,阿德福韦酯片,本品适用于治疗乙型肝炎病毒活动复制和血清氨基酸转移酶持续升高的肝功能代偿的成年慢性乙型肝炎患者。,阿德福韦酯片空腹及餐后条件下的人体生物等效性试验,天津泰普药品科技发展有限公司,湖南医药学院第一附属医院,怀化,湖南,焦志海、曾湘良
30,CTR20180898,进行中,厄贝沙坦片,治疗原发性高血压。,厄贝沙坦片人体生物等效性研究,安徽环球药业股份有限公司,无锡市中西医结合医院,无锡市,江苏省,赵懿清
27,CTR20180904,进行中,吲达帕胺缓释片,原发性高血压,吲达帕胺缓释片在健康人体的生物等效性研究,合肥合源药业有限公司,云南省中医医院,昆明市,云南省,贺建昌
29,CTR20180899,进行中,单硝酸异山梨酯片,冠心病的长期治疗；心绞痛的预防；心肌梗死后持续心绞痛的治疗；与洋地黄和/或利尿剂联合应用，治疗慢性充血性心力衰竭。,单硝酸异山梨酯片生物等效性试验,石家庄以岭药业股份有限公司,河北以岭医院,石家庄市,河北省,胡玉钦，医学硕士
31,CTR20180897,进行中,瑞舒伐他汀钙片,本品适用于经饮食控制和其它非药物治疗（如：运动治疗、减轻体重）仍不能适当控制血脂异常的原发性高胆固醇血症（IIa型，包括杂合子家族性高胆固醇血症）或混合型血脂异常症（IIb型）。本品也适用于纯合子家族性高胆固醇血症的患者，作为饮食控制和其它降脂措施（如LDL去除疗法）的辅助治疗，或在这些方法不适用时使用。,瑞舒伐他汀钙片人体生物等效性试验,赤峰赛林泰药业有限公司,首都医科大学附属北京地坛医院,北京,北京,郝晓花
33,CTR20180891,进行中,来曲唑片,治疗绝经后、雌激素受体阳性、孕激素受体阳性或受体状况不明的晚期乳腺癌患者，这些患者应为自然绝经或人工诱导绝经。,来曲唑片人体生物等效性试验。,海南日中天制药有限公司,海南欣泰康医药科技有限公司,海口市,海南省,郭荣芳
34,CTR20180889,进行中,克拉霉素片,健康受试者试验，克拉霉素适用于对其敏感的致病菌引起的感染。,克拉霉素片250 mg在空腹及餐后状态下健康人体生物等效性试验,宜昌东阳光长江药业股份有限公司,吉林大学第一医院Ⅰ期临床试验研究室,长春市,吉林省,张国成，医学学士
32,CTR20180894,进行中,美洛昔康片,适用于类风湿性关节炎的症状治疗、疼痛性骨关节炎（关节病、退行性骨关节病）的症状治疗。,美洛昔康片生物等效性研究,海南澳美华制药有限公司,浙江省人民医院Ⅰ期临床研究中心,杭州,浙江,李涯松
35,CTR20180883,进行中,阿莫西林克拉维酸钾片,适用于敏感菌引起的各种感染，如：1、上呼吸道感染：鼻窦炎、扁桃体炎、咽炎等。2、下呼吸道感染：急性支气管炎、慢性支气管炎急性发作、肺炎、肺脓肿和支气管合并感染等。3、泌尿系统感染：膀胱炎、尿道炎、肾盂肾炎、前列腺炎、盆腔炎、淋病奈瑟菌尿路感染及软性下疳等。4、皮肤和软组织感染：疖、脓肿、蜂窝组织炎、伤口感染、腹内脓毒症等。5、其他感染：中耳炎、骨髓炎、白血症、腹膜炎和手术后感染等。,阿莫西林克拉维酸钾片生物等效性试验,华北制药股份有限公司,上海市公共卫生临床中心Ⅰ期研究室,上海市,上海市,李锋
36,CTR20180878,进行中,美洛昔康片,用于骨关节炎症状加重时的短期症状治疗及类风湿性关节炎和强直性脊柱炎的长期症状治疗,美洛昔康片人体生物等效性研究,先声药业有限公司,皖南医学院弋矶山医院,芜湖,安徽,贾元威、沈杰
38,CTR20180870,进行中,盐酸普拉克索缓释片,帕金森病,健康受试者单次口服盐酸普拉克索缓释片的BE试验,北京北大维信生物科技有限公司,北京回龙观医院,北京,北京,杨甫德
39,CTR20180869,已完成,头孢克肟胶囊,本品适用于对头孢克肟敏感的链球菌属（肠球菌除外）、肺炎球菌、淋球菌、卡他布兰汉球菌、大肠艾希菌、克雷伯杆菌属、沙雷菌属、变形杆菌属、摩根变形杆菌，普鲁威登菌属及流感嗜血杆菌等引起下列细菌感染性疾病：1）支气管炎、支气管扩张症（感染时），慢性呼吸系统感染疾病的继发感染，肺炎；2）肾盂肾炎、膀胱炎、淋球菌性尿道炎；3）胆囊炎、胆管炎；4）猩红热；5）中耳炎、副鼻窦炎。,头孢克肟胶囊人体生物等效性试验,成都倍特药业有限公司,浙江医院国家药物临床试验机构,杭州市,浙江省,严静
37,CTR20180874,进行中,苯磺酸氨氯地平片,1、高血压。本品可单独应用或与其他抗高血压药物联合应用。 2、慢性稳定性心绞痛及血管痉挛性心绞痛（Prinzmetal's 或变异型心绞痛）。本品可单独应用也可与其他抗心绞痛药物联合应用。,苯磺酸氨氯地平片生物等效性试验,山西华元医药生物技术有限公司,济南市中心医院,济南市,山东省,温清
40,CTR20180866,进行中,盐酸乙胺丁醇片,适用于与其他抗结核药联合治疗结核杆菌所致的肺结核，亦可用于结核性脑膜炎及非典型分枝杆菌感染的治疗。,盐酸乙胺丁醇片生物等效性试验,宜昌人福药业有限责任公司,济南市中心医院,济南,山东,温清
41,CTR20180861,进行中,那屈肝素钙注射液,预防和治疗血栓栓塞性疾病，预防血液透析中体外循环中的血凝块形成,那屈肝素钙注射液人体药效动力学等效性试验,天津市生物化学制药厂,海口市人民医院,海口,海南,何小爱
42,CTR20180853,进行中,头孢氨苄胶囊,适用于敏感菌所致的急性扁桃体炎、咽峡炎、中耳炎、鼻窦炎、支气管炎、肺炎等呼吸道感染、尿路感染及皮肤软组织感染等。本品为口服制剂，不宜用于重症感染。,头孢氨苄胶囊人体生物等效性研究,佛山手心制药有限公司,湘潭市中心医院,湘潭市,湖南省,李雅萍
43,CTR20180850,进行中,磷酸西格列汀片,单药治疗：本品配合饮食控制和运动，用于改善2型糖尿病患者的血糖控制。与二甲双胍联用：当单独使用盐酸二甲双胍血糖控制不佳时，可与盐酸二甲双胍联合使用，在饮食和运动的基础上改善2型糖尿病患者的血糖控制。,磷酸西格列汀片人体生物等效性试验,南京正大天晴制药有限公司,长沙市第三医院,长沙,湖南,李昕
45,CTR20180846,进行中,磷酸西格列汀片-餐后试验,单药治疗：本品配合饮食控制和运动，用于改善2型糖尿病患者的血糖控制。与二甲双胍联用：当单独使用盐酸二甲双胍血糖控制不佳时，可与盐酸二甲双胍联合使用，在饮食和运动的基础上改善2型糖尿病患者的血糖控制。,磷酸西格列汀片人体生物等效性试验,南京正大天晴制药有限公司,长沙市第三医院,长沙,湖南,李昕，药学博士
44,CTR20180847,进行中,盐酸阿米替林片,用于治疗各种抑郁症。本品的镇静作用较强，主要用于治疗焦虑性或激动性抑郁症。,盐酸阿米替林片人体生物等效性研究,湖南洞庭药业股份有限公司 | HunanDongtingPharm.Co.Ltd.湖南洞庭药业股份有限公司 | HunanDongtingPharm.Co.Ltd.,浙江大学医学院附属第一医院,杭州,浙江,刘健
46,CTR20180845,进行中,伏立康唑片,本品是一种广谱的三唑类抗真菌药，适用于治疗成人和2岁及2岁以上儿童患者的下列真菌感染： （1）侵袭性曲霉病。 （2）非中性粒细胞减少患者中的念珠菌血症。 （3）对氟康唑耐药的念珠菌引起的严重侵袭性感染（包括克柔念珠菌）。 （4）由足放线病菌属和镰刀菌属引起的严重感染。 本品主要用于进展性、可能威胁生命的真菌感染患者的治疗。 预防接受异基因造血干细胞移植（HSCT）的高危患者中的侵袭性真菌感染。,伏立康唑片健康人体生物等效性试验,长春海悦药业股份有限公司,长春中医药大学附属医院I期临床试验研究室，中国，吉林省，长春市,长春,吉林,杨海淼
48,CTR20180842,进行中,盐酸异丙嗪片,1.皮肤黏膜的过敏；2.晕动病；3.镇静、催眠；4.恶心呕吐的治疗；5.术后疼痛；,盐酸异丙嗪片人体生物等效性研究,天津力生制药股份有限公司,湖南湘雅博爱康复医院有限公司,长沙,湖南,刘立鹏
49,CTR20180841,进行中,呋塞米片,1. 水肿性疾病包括充血性心力衰竭、肝硬化、肾脏疾病（肾炎、肾病及各种原因所致的急、慢性肾功能衰竭），尤其是应用其他利尿药效果不佳时，应用本类药物仍可能有效。与其他药物合用治疗急性肺水肿和急性脑水肿等。2. 高血压一般不作为治疗原发性高血压的首选药物，但当噻嗪类药物疗效不佳，尤其当伴有肾功能不全或出现高血压危象时，本类药物尤为适用。3. 预防急性肾功能衰竭用于各种原因导致肾脏血流灌注不足，例如失水、休克、中毒、麻醉意外以及循环功能不全等，在纠正血容量不足的同时及时应用，可减少急性肾小管坏死的机会。4. 高钾血症及高钙血症。5. 稀释性低钠血症尤其是当血钠浓度低于120mmol/L时。6. 抗利尿激素分泌过多症（SIADH）。7. 急性药物毒物中毒如巴比妥类药物中毒等。,呋塞米片（20mg）人体生物等效性试验,天津力生制药股份有限公司,东南大学附属中大医院,南京,江苏,刘必成
47,CTR20180843,进行中,奥美沙坦酯片,用于高血压的治疗。,健康受试者口服奥美沙坦酯片的平均生物等效性试验,北京万生药业有限责任公司,航天中心医院,北京,北京,刘会臣
50,CTR20180838,进行中,羧甲司坦片,（1）对以下病症有祛痰作用：上呼吸道炎（咽喉炎）、急性支气管炎、支气管哮喘、慢性支气管炎、支气管扩张、肺结核。（2）对慢性鼻窦炎有排脓作用。,羧甲司坦片人体生物等效性研究,广州白云山医药集团股份有限公司白云山制药总厂,中南大学湘雅医院,长沙市,湖南省,徐平声
51,CTR20180835,进行中,盐酸克林霉素胶囊,本品适用于由链球菌属、葡萄球菌属及厌氧菌等敏感菌株所致的下述感染：中耳炎、鼻窦炎、化脓性扁桃体炎、肺炎；皮肤软组织感染；在治疗骨和关节感染、腹腔感染、盆腔感染、脓胸、肺脓肿、骨髓炎、败血症等疾病时，可根据情况单用或与其他抗菌药联合应用。,盐酸克林霉素胶囊人体生物等效性试验,广州一品红制药有限公司,国防医学院三军总医院,台北,台湾,王宁祺
52,CTR20180832,进行中,盐酸克林霉素胶囊,本品适用于由链球菌属、葡萄球菌属及厌氧菌等敏感菌株所致的下述感染：中耳炎、鼻窦炎、化脓性扁桃体炎、肺炎；皮肤软组织感染；在治疗骨和关节感染、腹腔感染、盆腔感染、脓胸、肺脓肿、骨髓炎、败血症等疾病时，可根据情况单用或与其他抗菌药联合应用。,盐酸克林霉素胶囊人体生物等效性试验,广州一品红制药有限公司,国防医学院三军总医院,台北,台湾,王宁祺
53,CTR20180825,进行中,苯磺酸氨氯地平片,1、高血压 本品适用于高血压治疗。可单独应用或与其他抗高血压药物联合应用。2、冠心病 （1）慢性稳定性心绞痛；本品适用于慢性稳定性心绞痛的对症治疗。可单独应用或与其他抗心绞痛药物联合应用。（2）血管痉挛性心绞痛；本品适用于确诊或可疑的血管痉挛性心绞痛的治疗。可单独应用，也可与其他抗心绞痛药物联合应用。（3）经血管造影证实的冠心病；经血管造影证实为冠心病，但射血分数≥40%且无心力衰竭的患者，本品可减少因心绞痛住院的风险以及降低冠状动脉重建术的风险。,苯磺酸氨氯地平片人体生物等效性试验,湖南千金协力药业有限公司,中国医科大学附属盛京医院,沈阳,辽宁,肇丽梅
54,CTR20180824,进行中,苯磺酸氨氯地平/阿托伐他汀钙片,高血压，高血脂,氨氯地平阿托伐他汀钙片餐后生物等效性试验,北京红惠生物制药股份有限公司,中国人民解放军沈阳军区总医院,沈阳,辽宁,唐云彪
55,CTR20180822,进行中,盐酸异丙嗪片,上呼吸道过敏性疾病和包括过敏性鼻炎，荨麻疹，药物和外来蛋白质引起的皮肤的过敏反应；止吐药。 短期使用： 治疗成人失眠症。 短期用作儿科镇静剂。,盐酸异丙嗪片（25mg）生物等效性试验,常州康普药业有限公司,上海市公共卫生临床中心,上海市,上海市,陈晓蓉
56,CTR20180821,进行中,盐酸克林霉素胶囊,适用于由链球菌属、葡萄球菌属及厌氧菌等敏感菌株所致的感染。,盐酸克林霉素胶囊健康人体生物等效性研究,石药集团欧意药业有限公司,河北省人民医院药物临床试验机构,石家庄市,河北省,马杰
59,CTR20180815,进行中,索氟布韦片,基因2型慢性丙型肝炎,索磷布韦片餐后人体生物等效性试验,南京正大天晴制药有限公司,长沙市第三医院,长沙,湖南,李昕
60,CTR20180814,进行中,注射用替莫唑胺,新诊断的多形性胶质母细胞瘤；常规治疗后复发或进展的多形性胶质母细胞瘤或间变性星形细胞瘤,注射用替莫唑胺在中国胶质瘤患者体内生物等效性研究,江苏天士力帝益药业有限公司,首都医科大学附属北京世纪坛医院,北京,北京,王兴河、李文斌
58,CTR20180817,进行中,多潘立酮片,用于消化不良、腹胀、嗳气、恶心、呕吐、腹部胀痛。,多潘立酮片人体生物等效性试验,辅仁药业集团有限公司,湖州市中心医院,湖州市,浙江省,杨水新
62,CTR20180808,进行中,盐酸二甲双胍缓释片,单独使用盐酸二甲双胍缓释片，可作为辅助饮食及运动疗法，改善II型糖尿病患者对血糖的控制。盐酸二甲双胍缓释片适用于17岁及17岁以上的患者。盐酸二甲双胍缓释片可和磺酰脲类或胰岛素合用以改善成人（17岁及17岁以上）患者对血糖的控制,盐酸二甲双胍缓释片健康人体生物等效性试验,正大天晴药业集团股份有限公司,长春中医药大学附属医院药物临床试验机构,长春,吉林,杨海淼
63,CTR20180807,进行中,盐酸环丙沙星片,用于敏感菌引起的（1）泌尿生殖系统感染，包括单纯性、复杂性尿路感染、细菌性前列腺炎、淋病奈瑟菌尿道炎或宫颈炎（包括产酶株所致者）。 （2）呼吸道感染，包括敏感革兰阴性杆菌所致支气管感染急性发作及肺部感染。 （3）胃肠道感染，由志贺菌属、沙门菌属、产肠毒素大肠埃希菌、亲水气单胞菌、副溶血弧菌等所致。  （4）伤寒。  （5）骨和关节感染。 （6）皮肤软组织感染。 （7）败血症等全身感染。,盐酸环丙沙星片人体生物等效性试验（空腹&餐后）,开封制药（集团）有限公司,郑州大学第一附属医院,郑州市,河南省,张晓坚
61,CTR20180812,进行中,盐酸西那卡塞片,本品用于治疗慢性肾脏病维持性透析患者的继发性甲状旁腺功能亢进症。,盐酸西那卡塞片健康人体生物等效性研究,福建海西新药创制有限公司,厦门大学附属第一医院,厦门市,福建省,刘家俊
64,CTR20180806,进行中,富马酸喹硫平缓释片,用于治疗精神分裂症,富马酸喹硫平缓释片人体生物等效性研究,北京天衡药物研究院南阳天衡制药厂,上海市徐汇区中心医院,上海,上海,刘昀
65,CTR20180804,进行中,咪达那新片,膀胱过度活动症中的尿急、尿频以及急迫性尿失禁。,咪达那新片在健康受试者中生物等效性试验,昆明积大制药股份有限公司,武汉市传染病医院,武汉市,湖北省,张定宇
66,CTR20180802,进行中,头孢克洛干混悬剂,头孢克洛适用于治疗下列敏感菌引起的感染： ①中耳炎：由肺炎双球菌、流感嗜血杆菌、葡萄球菌、化脓性链球菌（A 组 β溶血性链球菌）、卡他莫拉氏菌引起。 ②下呼吸道感染（包括咽炎和扁桃体炎）：由肺炎双球菌、流感嗜血杆菌、 化脓性链球菌（A 组β溶血性链球菌）、卡他莫拉氏菌引起。 ③尿道感染（包括肾盂肾炎和膀胱炎）：由大肠杆菌、奇异变形菌、克雷白 氏杆菌属和凝固酶阴性的葡萄球菌引起。 ④皮肤和皮肤组织感染：由金色葡萄球菌和化脓性链球菌（A 组β溶血性链 球菌）引起。 ⑤鼻窦炎 ⑥淋球菌性尿道炎：应进行适当的组织培养和敏感性研究，以测定致病菌对 头孢克洛的敏感性。,头孢克洛干混悬剂在健康受试者中生物等效性试验,昆明积大制药股份有限公司,武汉市传染病医院,武汉市,湖北省,张定宇
67,CTR20180801,进行中,苯磺酸左旋氨氯地平胶囊,高血压病，心绞痛,苯磺酸左旋氨氯地平胶囊生物等效性试验,北京汉典制药有限公司,天津中医药大学第一附属医院药物I期临床试验研究室,天津市,天津,胡思源
57,CTR20180820,进行中,维格列汀片,本品适用于治疗2型糖尿病。本品可与二甲双胍合用，尤其是当单用二甲双胍使用最大耐受剂量仍不能有效控制血糖；本品可与磺酰脲类药物合用，尤其是当单用磺酰脲类药物使用最大耐受剂量仍不能有效控制血糖、由于禁忌或不耐受等原因不适合使用二甲双胍；本品可与噻唑烷二酮类药物，当不能有效控制血糖时和对于适合使用噻唑烷二酮类药物的患者,维格列汀片在健康受试者中的生物等效性试验,河北仁合益康药业有限公司,上海市公共卫生临床中心,上海市,江苏省,陈晓蓉
68,CTR20180798,进行中,劳拉西泮片,适用于焦虑障碍的治疗或用于缓解焦虑症状及与抑郁症状相关的焦虑的短期治疗。与日常生活压力相关的焦虑或紧张，通常不需要用抗焦虑的治疗。劳拉西泮长期应用的效果即应用4个月以上的效果还未经系统的临床研究评估。医师应定期重新评估该药对个体患者的有效性。,两种劳拉西泮1毫克片剂体内生物等效性研究,香港澳美制药厂有限公司北京代表处,香港大学一期临床试验中心,香港,NA,叶逸轩
69,CTR20180795,进行中,阿托伐他汀钙胶囊,高胆固醇血症、冠心病,阿托伐他汀钙生物等效性研究,天方药业有限公司,泰达国际心血管病医院,天津,天津,赵姜
70,CTR20180792,进行中,盐酸氨溴索片,适用于痰液粘稠而不易咳出者，包括慢性支气管炎急性加重、喘息型支气管炎、支气管哮喘等的祛痰治疗。,盐酸氨溴索片生物等效性试验,北京太洋药业股份有限公司,山西省运城市中心医院,运城市,山西省,张钦
71,CTR20180788,进行中,吲达帕胺片,轻-中度原发性高血压,吲达帕胺片与参比制剂在健康人体内空腹生物等效性研究,天津和治药业集团有限公司,天津中医药大学第二附属医院,天津,天津,黄宇虹
72,CTR20180784,进行中,尼莫地平注射液（II）,预防和治疗动脉瘤性蛛网膜下腔出血后脑血管痉挛引起的缺血性神经损伤，治疗急性缺血性脑血管疾病。治疗老年性脑功能障碍，如记忆力减退，定向力和注意力障碍和情绪波动等,尼莫地平注射液（Ⅱ）与尼膜同的生物等效性比较试验,沈阳东星医药科技有限公司,首都医科大学宣武医院,北京,北京,张兰
73,CTR20180781,进行中,盐酸美金刚缓释胶囊,治疗中度至重度阿尔茨海默病型痴呆,国产盐酸美金刚缓释胶囊人体生物等效性研究,成都苑东生物制药股份有限公司 | 四川阳光润禾药业有限公司,四川大学华西第二医院,成都,四川,余勤
74,CTR20180780,进行中,盐酸美金刚缓释胶囊,治疗中度至重度阿尔茨海默病型痴呆,国产盐酸美金刚缓释胶囊人体生物等效性研究,成都苑东生物制药股份有限公司 | 四川阳光润禾药业有限公司,四川大学华西第二医院,成都,四川,余勤，硕士
